scenario,treatment_var,panel,sample_group,period,treatment_group,n_couples
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2015,"Wife key (non-edu), husband not / edu",305
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2015,All other couples,1402
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2016,"Wife key (non-edu), husband not / edu",321
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2016,All other couples,1433
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2017,"Wife key (non-edu), husband not / edu",313
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2017,All other couples,1426
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2018,"Wife key (non-edu), husband not / edu",322
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2018,All other couples,1460
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2019,"Wife key (non-edu), husband not / edu",348
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2019,All other couples,1569
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2020,"Wife key (non-edu), husband not / edu",161
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2020,All other couples,713
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2021,"Wife key (non-edu), husband not / edu",167
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2021,All other couples,851
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2022,"Wife key (non-edu), husband not / edu",153
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2022,All other couples,786
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2023,"Wife key (non-edu), husband not / edu",163
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2023,All other couples,763
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2024,"Wife key (non-edu), husband not / edu",60
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,All couples,2024,All other couples,288
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2009,"Wife key (non-edu), husband not / edu",38
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2009,All other couples,187
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2010,"Wife key (non-edu), husband not / edu",91
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2010,All other couples,472
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2011,"Wife key (non-edu), husband not / edu",96
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2011,All other couples,501
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2012,"Wife key (non-edu), husband not / edu",99
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2012,All other couples,502
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2013,"Wife key (non-edu), husband not / edu",95
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2013,All other couples,490
