treatment_var,panel,sample_group,period,treatment_group,2019_only,combined,gain
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2021,"Wife key (non-edu), husband not / edu",31,37,6
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2021,All other couples,148,174,26
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2022,"Wife key (non-edu), husband not / edu",17,18,1
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2022,All other couples,124,151,27
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2023,"Wife key (non-edu), husband not / edu",22,24,2
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2023,All other couples,124,148,24
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2024,"Wife key (non-edu), husband not / edu",5,5,0
treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2024,All other couples,65,70,5
treat_husb_shutdown_wife_not,covid_wave,All couples,2019,"Husband shutdown, wife not",39,43,4
treat_husb_shutdown_wife_not,covid_wave,All couples,2019,All other couples,905,1102,197
treat_husb_shutdown_wife_not,covid_wave,All couples,baseline,"Husband shutdown, wife not",39,43,4
treat_husb_shutdown_wife_not,covid_wave,All couples,baseline,All other couples,904,1101,197
treat_husb_shutdown_wife_not,covid_wave,All couples,ca,"Husband shutdown, wife not",39,43,4
treat_husb_shutdown_wife_not,covid_wave,All couples,ca,All other couples,892,1086,194
treat_husb_shutdown_wife_not,covid_wave,All couples,cb,"Husband shutdown, wife not",35,39,4
treat_husb_shutdown_wife_not,covid_wave,All couples,cb,All other couples,844,1023,179
treat_husb_shutdown_wife_not,covid_wave,All couples,cc,"Husband shutdown, wife not",30,34,4
treat_husb_shutdown_wife_not,covid_wave,All couples,cc,All other couples,833,1001,168
treat_husb_shutdown_wife_not,covid_wave,All couples,cd,"Husband shutdown, wife not",34,36,2
treat_husb_shutdown_wife_not,covid_wave,All couples,cd,All other couples,802,973,171
treat_husb_shutdown_wife_not,covid_wave,All couples,ce,"Husband shutdown, wife not",32,36,4
treat_husb_shutdown_wife_not,covid_wave,All couples,ce,All other couples,783,940,157
treat_husb_shutdown_wife_not,covid_wave,All couples,cf,"Husband shutdown, wife not",32,35,3
treat_husb_shutdown_wife_not,covid_wave,All couples,cf,All other couples,747,892,145
treat_husb_shutdown_wife_not,covid_wave,All couples,cg,"Husband shutdown, wife not",30,33,3
treat_husb_shutdown_wife_not,covid_wave,All couples,cg,All other couples,725,871,146
treat_husb_shutdown_wife_not,covid_wave,All couples,ch,"Husband shutdown, wife not",31,34,3
treat_husb_shutdown_wife_not,covid_wave,All couples,ch,All other couples,743,896,153
treat_husb_shutdown_wife_not,covid_wave,All couples,ci,"Husband shutdown, wife not",31,34,3
treat_husb_shutdown_wife_not,covid_wave,All couples,ci,All other couples,770,933,163
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,2019,"Husband shutdown, wife not",18,20,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,2019,All other couples,323,397,74
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,baseline,"Husband shutdown, wife not",18,20,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,baseline,All other couples,323,397,74
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ca,"Husband shutdown, wife not",18,20,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ca,All other couples,320,392,72
